date,amount,category,description,notes
2026-04-01,78.00,Subscriptions,Netflix monthly,Streaming
2026-04-01,45.00,Subscriptions,Spotify Premium,Music
2026-04-02,128.00,Subscriptions,Adobe Creative Cloud,Work software
2026-04-03,980.00,Food,Groceries Park n Shop,Weekly shop
2026-04-05,68.00,Subscriptions,YouTube Premium family plan,Shared
2026-04-06,1200.00,Rental,Rent contribution,Monthly rent
2026-04-07,55.00,Entertainment,Cinema tickets x2,Weekend
2026-04-08,29.00,Subscriptions,Duolingo Plus,Language learning
2026-04-09,420.00,Food,Restaurant dinner,Social
2026-04-10,98.00,Subscriptions,iCloud storage 2TB,Cloud storage
2026-04-11,35.00,Transport,Taxi,Late night
2026-04-12,15.00,Subscriptions,News app auto-renewed,Forgotten trial
2026-04-13,88.00,Subscriptions,LinkedIn Premium,Job searching
2026-04-14,650.00,Food,Groceries,Weekly shop
2026-04-15,120.00,Subscriptions,VPN service annual divided by 12,Security
2026-04-16,200.00,Entertainment,Concert ticket,Live music
2026-04-17,42.00,Subscriptions,Dropbox Plus,File storage
2026-04-18,75.00,Food,Lunch out x3,Work lunches
2026-04-19,18.00,Subscriptions,Kindle Unlimited,Reading
2026-04-20,320.00,Transport,Taxi rides week total,Commuting
2026-04-21,55.00,Subscriptions,Fiit gym app,Fitness
2026-04-22,900.00,Food,Groceries,Weekly shop
2026-04-23,30.00,Subscriptions,Headspace meditation,Wellness
2026-04-24,180.00,Entertainment,Night out,Social
2026-04-25,25.00,Subscriptions,Grammarly monthly,Writing tool
2026-04-26,480.00,Food,Restaurant x2,Social dining
2026-04-27,12.00,Subscriptions,Cloud gaming trial forgot to cancel,Forgotten
2026-04-28,350.00,Utilities,Electricity and internet,Bills
2026-04-29,22.00,Subscriptions,Stock news app,Finance
2026-04-30,68.00,Food,Takeaway,Dinner
2026-04-31,45.00,Subscriptions,Password manager auto-renewed,Security
